Nitrogen_Kjeldahl,TotalSuspendedSolids,Nitrate,Conductivity,DissolvedOxygen,pH,TotalNitrogen,Nitrite,Chloride,10mLandCover_AgriculturalExtraction,CensusYear,Total Rain (mm) 0day Total,Total Rain (mm) -7day Total,Total Rain (mm) -56day Total,Total Rain (mm) -3day Total,Total Rain (mm) -28day Total,Total Rain (mm) -1day Total,Total Rain (mm) -14day Total,Month,Phosphorus
0.38,5.5,0.334,555.0,26.3,8.0,0.721,0.007,48.4,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.592376999999993
0.57,59.8,0.195,472.0,28.3,8.0,0.778,0.013,28.7,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6789004999999925
1.19,297.0,0.704,829.0,26.08,8.0,1.949,0.055,196.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6899609999999955
0.47,11.3,0.274,594.0,26.28,8.0,0.751,0.007,53.7,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.660653999999994
0.59,16.2,1.49,810.0,19.89,8.0,2.104,0.024,160.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6770559999999953
0.62,2.2,0.776,1066.0,25.87,9.0,1.424,0.028,197.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.2640490500000001
0.67,8.5,0.954,1414.0,20.39,8.0,1.663,0.039,316.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6660349999999962
0.82,19.6,1.13,1392.0,21.64,8.0,2.011,0.061,334.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6767144999999956
0.61,8.4,1.73,770.0,21.75,8.0,2.36,0.02,78.9,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6721949999999958
0.45,8.4,0.213,595.0,19.96,8.0,0.669,0.006,51.4,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.659756999999994
0.84,22.4,1.23,996.0,20.3,8.0,2.097,0.027,168.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6826914999999949
0.35,2.7,0.129,581.0,23.73,8.0,0.484,0.005,33.6,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.32711009999999746
0.45,3.4,0.121,611.0,20.1,8.0,0.576,0.005,48.9,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5150519999999963
0.57,8.2,0.596,506.0,23.63,8.0,1.177,0.011,65.6,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6649054999999944
0.49,6.3,0.61,910.0,26.29,8.0,1.123,0.023,170.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6053189999999928
0.51,8.9,0.196,1340.0,35.71,9.0,0.722,0.016,207.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6621094999999942
0.64,5.9,1.06,2327.0,25.72,8.0,1.734,0.034,667.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.5985639999999951
0.49,1.9,0.332,2089.0,29.93,9.0,0.833,0.011,543.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.25126984999999974
0.87,37.1,0.474,977.0,18.05,8.0,1.372,0.028,209.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.686988999999994
0.3,8.9,0.185,554.0,24.01,8.0,0.502,0.017,18.6,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6567169999999941
0.54,10.3,0.189,517.0,20.3,8.0,0.741,0.012,43.2,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6624569999999942
0.45,4.7,0.228,539.0,21.63,8.0,0.689,0.011,49.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.5816104999999928
0.64,31.1,0.4,770.0,15.59,8.0,1.054,0.014,153.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6781939999999923
0.61,3.4,0.594,1624.0,17.84,9.0,1.217,0.013,375.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5194759999999948
0.57,6.2,0.005,1160.0,17.97,8.0,0.577,0.002,194.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5982029999999928
0.5,0.5,0.346,1647.0,18.46,8.0,0.856,0.01,365.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.18886285000000108
0.38,3.7,0.163,548.0,16.3,8.0,0.548,0.005,41.3,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.553908499999994
0.21,11.2,0.144,494.0,16.27,8.0,0.361,0.007,12.4,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.656863499999994
0.32,2.1,0.122,543.0,16.45,8.0,0.447,0.005,50.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.23261879999999938
0.45,5.1,0.332,1965.0,23.59,9.0,0.791,0.009,440.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.5848209999999917
0.36,7.8,0.132,658.0,19.98,9.0,0.498,0.006,93.3,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.6359289999999939
0.29,2.0,0.005,1203.0,19.69,8.0,0.296,0.001,179.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.2325354999999992
0.42,6.3,0.356,597.0,16.25,8.0,0.782,0.006,47.6,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.600545999999993
0.45,4.2,0.18,1899.0,27.89,9.0,0.645,0.015,815.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.5652614999999934
0.4,4.2,0.173,539.0,16.4,8.0,0.581,0.008,38.5,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.5625209999999936
0.22,6.2,0.177,502.0,19.75,8.0,0.408,0.011,13.8,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.5943144999999925
0.54,34.8,0.225,1037.0,12.47,8.0,0.774,0.009,177.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.6777954999999923
0.36,2.1,0.093,528.0,18.07,8.0,0.458,0.005,46.9,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.23608959999999946
0.46,21.3,0.302,507.0,22.18,8.0,0.774,0.012,20.9,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6768884999999923
1.21,54.7,0.15,526.0,20.4,8.0,1.365,0.005,35.9,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.7019974999999944
0.9,109.0,0.908,573.0,21.67,8.0,1.835,0.027,66.4,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6823504999999951
0.87,60.0,0.303,550.0,20.29,8.0,1.181,0.008,48.2,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6876954999999934
0.73,13.7,1.72,868.0,18.32,8.0,2.468,0.018,160.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6721139999999959
0.69,34.0,0.878,518.0,20.47,8.0,1.601,0.033,64.9,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6812784999999948
0.62,11.2,1.33,1096.0,20.08,8.0,1.966,0.016,237.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6659349999999958
0.6,11.6,1.05,926.0,19.87,8.0,1.664,0.014,177.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.664963999999996
0.64,4.1,1.26,666.0,20.13,8.0,1.918,0.018,68.8,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.5660559999999943
0.59,11.9,0.667,891.0,23.65,8.0,1.272,0.015,132.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6684414999999948
0.35,2.2,0.271,581.0,25.91,8.0,0.628,0.007,30.3,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.23980019999999957
0.48,3.7,0.093,613.0,25.96,8.0,0.578,0.005,51.6,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.557575499999994
0.52,2.5,0.682,1002.0,24.4,9.0,1.214,0.012,184.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.3168405999999984
0.35,9.8,0.44,593.0,25.79,8.0,0.8,0.01,95.7,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.658028999999994
0.4,5.5,0.665,930.0,20.13,8.0,1.09,0.025,205.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5918059999999928
0.49,11.7,0.79,898.0,20.13,8.0,1.323,0.043,384.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6664899999999949
0.65,7.1,1.33,723.0,21.57,8.0,1.996,0.016,67.3,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6393894999999954
0.75,12.3,4.12,880.0,29.72,8.0,4.913,0.043,102.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7449724999999964
0.6,10.2,2.67,940.0,24.21,8.0,3.317,0.047,326.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7420339999999962
0.61,14.1,1.24,1213.0,23.81,8.0,1.9,0.05,312.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.665870999999996
0.4,8.0,0.785,602.0,28.45,8.0,1.202,0.017,32.4,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6435584999999939
0.42,4.4,0.436,603.0,16.47,8.0,0.867,0.011,47.1,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5651994999999929
0.43,4.4,0.271,643.0,30.05,8.0,0.712,0.011,50.1,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5662744999999931
0.7,12.6,4.81,1412.0,23.5,8.0,5.565,0.055,151.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7449294999999962
0.42,5.9,1.83,839.0,24.49,7.0,2.268,0.018,121.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.603037999999995
0.54,4.3,2.73,722.0,23.99,8.0,3.287,0.017,62.7,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6381199999999922
0.55,5.6,1.73,2545.0,24.34,9.0,2.319,0.039,664.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6006729999999952
1.2,29.1,3.74,908.0,23.69,8.0,4.985,0.045,155.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.7746484999999962
1.32,20.3,2.49,1453.0,24.05,8.0,3.857,0.047,347.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.7766264999999969
0.39,9.6,0.301,538.0,24.17,8.0,0.698,0.007,36.2,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.659271499999994
0.39,5.8,0.449,520.0,23.8,8.0,0.842,0.003,47.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.595305499999993
0.6,10.6,1.19,1066.0,23.91,9.0,1.812,0.022,186.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6637589999999959
0.79,26.6,2.18,782.0,24.15,8.0,2.99,0.02,120.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.7460074999999948
0.4,3.6,0.257,552.0,23.79,8.0,0.66,0.003,50.2,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5455244999999939
0.57,13.8,1.44,747.0,21.96,8.0,2.02,0.01,81.6,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6685179999999957
0.25,2.4,0.101,520.0,27.63,8.0,0.358,0.007,25.7,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.26993129999999876
0.66,6.7,1.28,2073.0,24.05,8.0,1.968,0.028,260.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6413369999999955
0.6,5.2,0.823,1299.0,27.85,9.0,1.449,0.026,552.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5909409999999932
0.48,4.2,1.03,2666.0,26.44,9.0,1.544,0.034,732.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5654079999999944
0.7,31.7,0.766,781.0,23.5,8.0,1.481,0.015,102.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6820179999999941
0.37,5.1,0.419,534.0,23.78,8.0,0.796,0.007,48.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5837854999999916
0.39,4.6,0.176,553.0,23.54,8.0,0.573,0.007,47.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5706834999999931
0.66,10.7,0.432,1035.0,19.51,8.0,1.108,0.016,206.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6621099999999943
0.46,13.2,0.741,661.0,22.16,8.0,1.212,0.011,65.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6663999999999946
0.45,2.2,0.707,576.0,20.25,8.0,1.167,0.01,140.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.2466025
0.63,13.0,0.911,844.0,18.21,8.0,1.579,0.038,276.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.666349999999996
0.51,6.4,0.961,446.0,18.2,8.0,1.487,0.016,58.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6047209999999942
0.45,6.3,0.438,600.0,20.49,9.0,0.904,0.016,147.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.600803999999993
0.43,3.0,0.526,826.0,19.62,8.0,0.97,0.014,239.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.4315214999999972
2.9,613.0,5.38,503.0,16.3,8.0,8.371,0.091,75.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9116615000000056
0.54,3.2,0.18,726.0,23.54,9.0,0.726,0.006,182.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.510923499999996
0.62,59.0,0.448,497.0,17.72,8.0,1.084,0.016,24.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6768319999999923
0.49,1.1,0.273,948.0,15.68,9.0,0.772,0.009,105.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.17750499999999989
0.54,11.3,0.16,491.0,16.39,8.0,0.704,0.004,41.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.661712499999994
0.65,30.8,0.637,752.0,16.07,8.0,1.319,0.032,132.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6837164999999936
0.37,2.5,0.361,506.0,19.95,9.0,0.736,0.005,48.4,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.3071590999999987
1.12,62.7,1.17,479.0,16.2,8.0,2.316,0.026,44.1,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6892694999999953
0.78,82.9,0.484,605.0,12.01,9.0,1.285,0.021,98.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6847454999999939
0.52,5.5,1.09,700.0,19.83,8.0,1.622,0.012,66.6,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.5956354999999948
0.33,2.9,0.321,567.0,21.95,8.0,0.66,0.009,48.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.4132349999999976
0.25,3.5,0.2,540.0,23.68,8.0,0.462,0.012,19.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.5106569999999958
0.39,5.0,0.235,547.0,20.17,8.0,0.634,0.009,39.3,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.5849194999999919
0.42,1.4,0.305,1146.0,21.76,9.0,0.738,0.013,281.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.1731787499999994
0.74,39.9,0.458,769.0,21.69,8.0,1.21,0.012,95.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6849029999999933
0.47,3.7,0.393,861.0,28.28,9.0,0.873,0.01,175.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.5591249999999934
0.46,2.6,0.696,1385.0,21.61,9.0,1.17,0.014,360.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.3257803999999982
0.39,12.2,0.152,811.0,24.37,8.0,0.548,0.006,117.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6560734999999941
0.54,10.0,0.666,1673.0,26.19,9.0,1.216,0.01,528.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6667239999999945
0.42,8.5,0.047,1209.0,28.16,9.0,0.473,0.006,239.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6578964999999938
0.27,2.7,0.391,525.0,24.21,8.0,0.669,0.008,48.4,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.32664889999999885
0.41,3.3,0.284,1635.0,28.48,8.0,0.712,0.018,429.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.5144949999999959
0.28,2.1,0.378,483.0,16.06,8.0,0.667,0.009,46.2,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.23223549999999954
0.28,1.8,0.328,521.0,21.64,8.0,0.616,0.008,40.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.23174759999999936
0.55,4.3,0.024,770.0,23.98,8.0,0.575,0.001,135.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5648364999999936
0.59,4.5,0.87,1109.0,23.62,9.0,1.475,0.015,270.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5675819999999939
0.44,9.7,0.571,960.0,22.28,8.0,1.027,0.016,210.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6581774999999938
0.38,12.9,0.195,705.0,17.93,8.0,0.578,0.003,99.4,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6586664999999943
0.28,3.0,0.446,450.0,20.44,8.0,0.731,0.005,48.3,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.42930899999999766
0.31,2.5,0.234,501.0,20.18,8.0,0.547,0.003,42.9,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.29978279999999863
0.29,3.4,0.802,568.0,23.97,8.0,1.098,0.006,43.7,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5115649999999952
0.49,2.5,0.328,851.0,23.78,9.0,0.826,0.008,150.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.31769959999999803
0.15,1.2,0.131,451.0,20.36,8.0,0.285,0.004,14.6,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.13277854999999994
0.26,2.8,0.603,573.0,23.99,9.0,0.871,0.008,46.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.39136249999999745
0.41,1.6,0.673,1221.0,22.41,8.0,1.11,0.027,362.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.17731044999999976
0.16,1.2,0.166,501.0,26.13,9.0,0.334,0.008,15.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.13442809999999994
0.34,2.0,0.333,577.0,23.63,8.0,0.684,0.011,43.3,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.2383042999999996
0.27,2.3,0.474,946.0,26.05,8.0,0.753,0.009,236.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.27119099999999935
0.39,11.3,0.237,716.0,21.71,9.0,0.633,0.006,88.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6594429999999941
0.4,2.5,0.874,1280.0,26.42,9.0,1.292,0.018,330.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.3055380999999993
0.28,6.3,0.862,543.0,22.01,8.0,1.15,0.008,48.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6028864999999936
0.28,8.4,0.543,734.0,26.42,9.0,0.842,0.019,131.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.657035999999994
0.68,61.3,0.8,3515.0,30.0,9.0,1.508,0.028,1150.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6814029999999943
0.53,5.0,0.998,2509.0,21.62,8.0,1.557,0.029,742.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5862994999999938
0.39,9.4,0.378,717.0,24.29,8.0,0.775,0.007,108.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6580634999999938
0.52,30.2,0.464,486.0,22.27,8.0,0.989,0.005,47.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6756764999999922
0.63,2.9,1.07,1433.0,21.8,8.0,1.723,0.023,360.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.4163249999999974
0.26,3.3,0.165,4694.0,25.67,8.0,0.432,0.007,26.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5075454999999959
0.47,16.7,0.539,504.0,21.82,8.0,1.019,0.01,48.3,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6664074999999934
0.44,4.9,0.873,621.0,24.5,9.0,1.321,0.008,75.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5883809999999927
0.48,7.7,0.556,1114.0,22.08,8.0,1.05,0.014,263.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6384104999999933
0.37,4.8,0.468,547.0,22.16,9.0,0.842,0.004,51.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5788909999999926
0.5,3.9,0.591,2026.0,23.55,8.0,1.109,0.018,543.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.560549499999993
0.53,6.2,0.718,2548.0,29.98,9.0,1.281,0.033,755.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6033184999999937
0.39,12.6,0.255,552.0,23.7,8.0,0.649,0.004,50.1,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6587864999999941
0.26,3.1,0.081,326.0,24.17,8.0,0.346,0.005,29.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.42258999999999647
0.53,7.9,0.186,433.0,24.5,9.0,0.722,0.006,124.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6416834999999937
0.58,9.1,0.263,1315.0,26.45,9.0,0.855,0.012,305.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.663039999999994
0.55,7.8,0.36,998.0,22.11,9.0,0.926,0.016,204.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6401909999999935
0.4,4.8,0.651,646.0,22.48,9.0,1.059,0.008,69.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5777654999999923
0.5,6.0,0.1,769.0,10.0,9.0,0.603,0.003,107.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5980244999999931
1.1,10.0,0.67,1851.0,10.0,8.0,1.811,0.041,503.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6714859999999968
0.52,2.1,0.539,2500.0,20.15,9.0,1.097,0.038,738.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.25225664999999986
0.38,6.1,0.312,516.0,28.52,9.0,0.705,0.013,52.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.5974629999999932
