pH,Month,Year,CensusYear,Total Rain (mm) 0day Total,Total Rain (mm) -3day Total,Total Rain (mm) -1day Total,TotalNitrogen,Nitrogen_Kjeldahl,Phosphorus
8.14,10,2017,2016,0.8,11.6,11.6,1.594,0.97,0.061032999999999615
8.29,10,2016,2016,0.6,5.8,5.2,0.441,0.2,0.020062000000000132
8.43,10,2005,2006,3.0,3.0,3.0,0.982,0.25,0.008575699999999888
8.28,10,2005,2006,3.0,3.0,3.0,2.231,0.51,0.03321200000000008
8.5,10,2017,2016,10.8,10.8,10.8,0.436,0.37,0.02461062499999987
8.57,12,2011,2011,0.0,0.0,0.0,1.231,0.34,0.016296500000000116
7.11,2,2019,2016,0.0,7.0,1.0,2.076,1.17,0.06817290000000091
8.55,7,2011,2011,0.0,23.6,0.0,0.758,0.34,0.018176299999999923
8.05,5,2018,2016,21.3,21.3,21.3,2.131,1.57,0.27040310000000073
8.34,10,2009,2011,2.6,5.4,5.4,0.836,0.36,0.013034099999999889
8.27,4,2013,2011,2.7,9.1,6.5,0.98,0.26,0.01737419999999982
8.41,11,2017,2016,0.0,15.3,0.4,0.691,0.46,0.018572358333333323
8.33,5,2005,2006,0.0,0.0,0.0,0.982,0.31,0.014345499999999942
8.32,8,2004,2006,0.0,0.0,0.0,0.664,0.15,0.015712399999999828
8.55,7,2011,2011,0.0,23.6,0.0,0.888,0.35,0.020767600000000257
8.3,8,2018,2016,38.4,38.4,38.4,1.711,1.44,0.3197121000000011
8.38,8,2017,2016,0.0,0.2,0.0,1.076,0.54,0.016655033333333364
8.33,10,2010,2011,6.0,6.0,6.0,0.944,0.26,0.01258849999999988
8.17,8,2019,2016,0.0,10.0,7.8,0.69,0.43,0.0419437999999998
8.34,8,2003,2001,0.0,21.6,0.0,1.469,0.46,0.03572970000000043
8.36,7,2014,2016,2.2,14.4,14.4,0.83,0.29,0.017603800000000173
8.48,4,2014,2016,0.0,8.2,6.0,0.99,0.23,0.01498890000000015
8.41,8,2013,2011,0.0,0.0,0.0,0.66,0.2,0.013579499999999885
6.99,4,2019,2016,6.0,51.8,6.0,2.065,0.94,0.08678500000000014
8.32,4,2012,2011,0.0,9.8,0.6,0.76,0.36,0.014448633333333271
8.46,4,2014,2016,0.0,8.2,6.0,1.14,0.15,0.014706900000000016
8.36,10,2004,2006,0.2,2.4,0.2,0.914,0.25,0.011661999999999985
8.35,1,2012,2011,0.0,14.8,2.6,1.412,0.64,0.09860513333333268
8.25,9,2019,2016,0.0,21.0,21.0,0.784,0.75,0.06744130000000058
8.16,1,2018,2016,14.5,15.0,15.0,1.651,0.74,0.03314630000000028
8.38,5,2013,2011,2.4,2.4,2.4,0.899,0.4,0.012770899999999837
8.21,3,2013,2011,0.0,0.0,0.0,1.05,0.4,0.06320946666666623
8.27,3,2017,2016,1.0,1.0,1.0,0.751,0.33,0.029665233333333575
8.41,7,2007,2006,2.4,2.4,2.4,0.962,0.36,0.02335779999999984
8.33,4,2017,2016,3.8,3.8,3.8,2.691,0.64,0.020311049999999976
8.48,3,2018,2016,0.0,0.0,0.0,0.39,0.66,0.03453043333333317
8.36,9,2013,2011,0.0,30.8,0.0,0.87,0.64,0.05320555000000011
8.2,1,2017,2016,0.0,0.6,0.3,5.091,0.42,0.0253350000000001
8.3,4,2018,2016,0.0,0.0,0.0,1.382,0.7,0.05923044999999973
8.11,9,2018,2016,6.6,27.6,27.6,0.434,0.36,0.023795400000000046
7.91,10,2007,2006,7.8,15.2,15.2,2.022,1.02,0.12276169999999881
6.88,2,2019,2016,0.0,7.0,1.0,1.923,1.25,0.055952299999999455
7.8,2,2018,2016,10.0,19.4,19.4,1.14,2.17,0.4092550000000037
8.37,8,2008,2006,6.8,60.8,7.6,1.81,0.78,0.04284870000000054
8.25,6,2010,2011,3.4,3.8,3.4,1.691,0.52,0.02709223333333337
8.37,7,2009,2011,0.0,2.1,2.1,1.189,0.29,0.014093199999999854
8.26,6,2006,2006,1.0,18.8,2.8,1.121,0.46,0.036893799999999914
8.39,6,2012,2011,0.0,26.8,6.4,1.178,0.55,0.04849430000000018
8.39,7,2019,2016,0.0,96.0,0.0,0.652,0.44,0.020660533333333442
8.27,6,2012,2011,0.0,26.8,6.4,1.49,0.71,0.06738070000000003
8.4,6,2016,2016,0.6,0.6,0.6,0.421,0.2,0.01508859999999984
8.15,3,2017,2016,1.0,1.0,1.0,2.161,0.4,0.022399899999999848
8.33,7,2012,2011,0.0,0.0,0.0,1.68,0.49,0.02941749999999999
8.36,8,2004,2006,0.0,0.0,0.0,1.074,0.18,0.012941000000000012
8.52,6,2008,2006,0.0,3.0,0.0,0.791,0.26,0.014677699999999957
9.02,5,2019,2016,0.3,16.2,5.8,3.141,1.09,0.06033319999999973
8.42,8,2013,2011,0.0,0.0,0.0,0.48,0.3,0.01474646666666661
8.45,6,2006,2006,1.0,18.8,2.8,0.985,0.22,0.018064800000000224
6.55,1,2019,2016,0.0,0.0,0.0,3.784,0.8,0.02580110000000007
8.26,5,2018,2016,32.2,32.2,32.2,0.997,0.5,0.019611800000000082
7.99,2,2018,2016,10.0,19.4,19.4,1.665,1.0,0.18368739999999753
8.34,5,2018,2016,32.2,32.2,32.2,0.623,0.42,0.029214500000000084
8.23,9,2009,2011,0.0,2.8,2.8,0.684,0.24,0.011346499999999872
8.24,8,2003,2001,0.0,21.6,0.0,2.095,1.44,0.3064747999999979
8.16,9,2009,2011,0.0,0.0,0.0,1.269,0.62,0.04332375000000007
8.25,5,2015,2016,0.0,11.8,0.0,0.77,0.34,0.017352566666666683
8.37,9,2003,2001,0.4,28.2,0.4,1.025,0.52,0.04035719999999978
8.51,6,2003,2001,0.0,16.4,0.4,1.495,0.72,0.0705705500000001
8.15,11,2015,2016,0.0,4.7,0.0,1.701,0.42,0.02399052499999998
8.28,4,2014,2016,6.0,8.2,8.2,1.05,0.44,0.025534999999999853
8.35,8,2018,2016,30.0,30.0,30.0,2.344,1.96,0.26601430000000137
8.37,8,2018,2016,0.0,4.0,0.0,0.692,0.55,0.022149333333333198
8.09,1,2015,2016,0.0,1.8,0.8,1.28,0.38,0.020698266666666385
8.27,8,2003,2001,0.0,2.2,0.0,0.993,0.33,0.01666739999999979
8.4,11,2007,2006,0.0,3.0,3.0,2.76,0.64,0.04593779999999956
8.22,3,2018,2016,0.0,0.0,0.0,1.184,0.53,0.020616900000000146
8.47,5,2005,2006,0.0,7.3,3.0,0.764,0.2,0.014603800000000023
8.21,6,2019,2016,0.0,2.8,0.0,1.437,0.81,0.022540099999999886
8.45,4,2014,2016,0.0,8.2,6.0,1.21,0.28,0.01742290000000021
8.42,9,2008,2006,0.3,25.6,14.4,1.098,0.625,0.08972689999999955
8.24,4,2007,2006,0.0,8.9,0.0,1.203,0.3,0.009458999999999886
8.37,5,2010,2011,5.8,9.4,6.8,0.758,0.35,0.01184019999999986
8.57,10,2015,2016,8.4,11.0,8.4,0.461,0.2,0.014920266666666656
7.87,6,2015,2016,0.0,29.6,29.6,2.793,1.3,0.16376349999999815
8.54,7,2016,2016,0.0,0.0,0.0,0.291,0.21,0.016886733333333494
8.33,10,2003,2001,0.0,0.4,0.0,1.727,0.65,0.04099610000000019
8.31,8,2003,2001,0.0,2.2,0.0,0.955,0.41,0.03164280000000008
8.43,4,2007,2006,0.0,8.9,0.0,1.189,0.23,0.011542799999999857
8.33,3,2014,2016,0.0,2.0,0.0,1.35,0.48,0.028424566666666408
8.4,9,2004,2006,0.0,0.0,0.0,0.788,0.17,0.016436000000000013
8.31,10,2019,2016,11.4,11.4,11.4,1.021,0.66,0.02596783333333354
8.26,6,2019,2016,0.0,1.0,0.0,2.236,0.74,0.025329200000000312
8.48,5,2005,2006,0.0,7.3,3.0,0.834,0.23,0.01196700000000013
8.47,10,2012,2011,0.0,10.4,0.0,0.532,0.18,0.006065399999999888
8.43,6,2018,2016,6.8,6.8,6.8,0.627,0.43,0.023000825000000023
8.37,5,2009,2011,3.8,3.8,3.8,1.226,0.43,0.02227670000000003
8.21,5,2017,2016,0.0,0.9,0.0,3.341,0.64,0.023642949999999996
8.13,1,2017,2016,0.0,0.4,0.0,1.591,0.52,0.05492149999999965
8.27,10,2011,2011,2.8,3.0,2.8,1.661,0.73,0.04307449999999973
8.22,11,2005,2006,0.0,28.4,19.0,3.663,0.63,0.056411899999999196
8.35,8,2017,2016,0.0,0.2,0.0,0.271,0.2,0.01210609999999986
7.42,11,2018,2016,0.0,0.0,0.0,3.376,0.58,0.023026200000000305
7.78,2,2016,2016,0.0,1.0,0.0,2.818,0.71,0.029971899999999625
8.17,7,2015,2016,0.0,1.8,0.0,1.618,0.5,0.02779283333333364
8.3,3,2019,2016,0.0,0.0,0.0,1.436,1.04,0.08687090000000039
8.19,11,2012,2011,0.0,0.0,0.0,1.663,0.57,0.020641700000000172
8.39,5,2009,2011,3.8,3.8,3.8,1.065,0.34,0.016183899999999914
8.12,3,2016,2016,3.2,13.0,13.0,4.541,3.76,0.8489070999999921
8.4,9,2007,2006,29.0,29.0,29.0,0.704,0.12,0.013145499999999878
8.31,8,2009,2011,0.0,35.6,9.0,1.041,0.46,0.04402980000000004
8.36,9,2010,2011,10.0,10.8,10.8,0.765,0.37,0.019863499999999763
8.23,4,2007,2006,0.0,8.9,0.0,2.205,0.5,0.03371410000000007
8.38,4,2008,2006,0.0,0.0,0.0,2.479,0.54,0.026202099999999843
8.29,5,2007,2006,0.0,0.0,0.0,1.015,0.31,0.010213999999999872
8.44,10,2013,2011,8.6,18.8,9.6,0.69,0.39,0.01462289999999977
8.32,8,2012,2011,0.4,3.0,2.4,0.738,0.18,0.016109100000000175
8.41,5,2011,2011,24.6,29.2,24.6,1.162,0.3,0.01153129999999988
6.79,4,2019,2016,0.0,34.0,6.0,2.461,0.85,0.030849199999999934
8.21,2,2012,2011,0.0,0.0,0.0,1.122,0.35,0.02718479999999974
7.76,4,2015,2016,13.8,43.4,43.4,3.758,3.16,0.746342199999994
8.37,6,2010,2011,3.4,3.8,3.4,0.889,0.24,0.011931199999999855
8.21,3,2019,2016,0.0,0.0,0.0,2.24,1.57,0.17079370000000063
8.11,8,2014,2016,0.0,6.0,0.0,0.42,0.35,0.01868579999999991
8.44,4,2007,2006,0.0,5.5,0.0,0.546,0.34,0.019834166666666694
8.4,9,2007,2006,29.0,29.0,29.0,0.783,0.15,0.009615999999999871
8.5,4,2011,2011,13.0,27.3,27.3,1.356,0.47,0.02875759999999981
8.4,9,2014,2016,5.2,7.2,5.2,2.01,0.76,0.03319589999999963
7.95,5,2013,2011,2.4,2.4,2.4,2.047,1.31,0.22253980000000145
8.49,7,2007,2006,2.4,2.4,2.4,0.874,0.24,0.014895599999999926
8.77,12,2017,2016,4.0,4.0,4.0,0.681,0.34,0.01364894999999983
8.44,7,2011,2011,0.0,23.6,0.0,0.849,0.47,0.02688670000000015
8.18,11,2005,2006,0.0,39.1,19.1,2.528,0.65,0.06386479999999918
8.35,5,2014,2016,1.2,3.2,3.2,1.28,0.48,0.02280799999999986
8.83,9,2017,2016,0.8,0.8,0.8,0.266,0.2,0.011365733333333199
8.35,6,2009,2011,0.0,0.0,0.0,1.327,0.42,0.02164239999999976
6.88,12,2018,2016,0.0,0.0,0.0,3.368,1.31,0.1484989999999994
8.24,8,2009,2011,0.0,35.6,9.0,1.256,0.74,0.06429299999999945
6.65,12,2018,2016,0.0,0.0,0.0,1.347,0.75,0.02307494999999983
8.26,6,2010,2011,3.4,3.8,3.4,1.417,0.8,0.05325330000000041
8.39,6,2019,2016,0.0,2.8,0.0,0.653,0.38,0.014670799999999743
8.43,8,2005,2006,0.0,1.5,0.0,0.748,0.16,0.017363800000000172
8.26,6,2003,2001,0.0,16.4,0.4,1.434,0.53,0.044182300000000695
8.3,7,2017,2016,0.0,4.6,3.0,2.441,1.32,0.3429988999999977
8.45,5,2011,2011,24.6,29.2,24.6,0.952,0.37,0.013979000000000012
8.42,5,2014,2016,1.2,3.2,3.2,0.74,0.36,0.015342999999999947
7.7,11,2018,2016,0.0,15.6,0.0,1.656,0.43,0.02692159999999996
8.28,7,2009,2011,0.0,2.1,2.1,1.189,0.31,0.014523799999999892
7.94,2,2016,2016,0.0,1.0,1.0,0.701,0.2,0.02452113333333317
8.32,7,2002,2001,0.0,58.2,26.0,0.993,0.67,0.062143900000000786
7.71,10,2018,2016,0.0,0.0,0.0,0.432,0.31,0.015463033333333464
8.22,1,2016,2016,0.0,3.2,0.0,2.831,0.32,0.016981633333333454
8.26,4,2005,2006,0.0,0.0,0.0,1.09,0.29,0.018303900000000244
8.28,2,2017,2016,2.4,2.4,2.4,1.981,0.6,0.03488936666666697
8.29,6,2013,2011,0.0,38.8,3.6,1.387,0.6,0.031425199999999646
8.38,8,2013,2011,0.0,0.0,0.0,0.91,0.39,0.025288400000000037
8.51,10,2004,2006,0.0,0.4,0.0,1.46,0.52,0.0364243000000001
8.17,6,2017,2016,16.6,39.2,30.8,2.916,0.98,0.09313260000000115
8.26,4,2009,2011,5.1,25.1,5.1,2.391,0.54,0.03129350000000027
8.48,7,2006,2006,0.6,2.0,0.6,0.944,0.31,0.022436099999999824
8.32,9,2011,2011,0.0,20.8,20.8,0.727,0.63,0.06453200000000017
8.47,3,2018,2016,0.0,0.0,0.0,0.934,0.54,0.02921361666666619
8.42,7,2018,2016,9.5,49.1,12.5,1.246,0.8,0.04796205000000074
8.47,8,2018,2016,0.0,4.0,0.0,1.261,1.16,0.07928709999999983
8.32,11,2014,2016,0.0,5.0,5.0,0.83,0.33,0.012109499999999843
8.43,5,2016,2016,9.0,13.6,9.0,0.531,0.38,0.020620499999999955
8.35,9,2017,2016,0.8,0.8,0.8,0.546,0.48,0.018190699999999952
8.18,8,2012,2011,0.4,3.0,2.4,1.68,0.44,0.02439600000000002
8.28,4,2013,2011,0.4,1.0,0.4,1.155,0.4,0.01701679999999996
8.15,9,2016,2016,0.0,5.9,0.5,5.501,3.19,0.17418620000000073
8.45,10,2006,2006,0.4,53.6,6.2,1.404,0.64,0.0783846999999997
8.31,8,2005,2006,0.0,1.5,0.0,0.641,0.24,0.014749299999999991
8.45,8,2005,2006,0.0,0.6,0.0,1.004,0.27,0.01668000000000018
8.4,9,2004,2006,0.0,0.0,0.0,0.32,0.22,0.015952999999999787
8.38,9,2014,2016,5.2,7.2,5.2,1.22,0.43,0.036254399999999846
8.67,9,2011,2011,18.0,18.0,18.0,1.804,0.62,0.05155990000000008
8.38,5,2017,2016,0.0,1.1,0.6,0.761,0.34,0.012425499999999864
8.5,6,2005,2006,0.0,0.0,0.0,0.814,0.22,0.015314300000000045
8.42,5,2014,2016,1.2,3.2,3.2,0.94,0.31,0.025746000000000033
8.33,7,2004,2006,1.0,13.5,4.5,1.184,0.36,0.03159950000000003
8.28,9,2004,2006,0.0,0.0,0.0,1.105,0.28,0.015813999999999908
8.3,1,2019,2016,0.0,0.0,0.0,0.712,0.41,0.04359286666666724
8.43,7,2008,2006,21.8,73.6,22.6,1.496,0.61,0.04849239999999995
8.54,4,2004,2006,0.0,12.6,11.4,1.012,0.57,0.04979979999999985
8.38,10,2011,2011,2.8,3.0,2.8,1.72,0.47,0.025809774999999844
7.98,1,2018,2016,2.3,17.3,16.8,2.232,1.32,0.13395009999999954
8.22,3,2017,2016,1.0,1.0,1.0,1.361,0.25,0.06092470000000051
8.36,7,2015,2016,0.6,9.0,1.2,0.364,0.2,0.012746499999999905
8.16,1,2017,2016,0.0,0.4,0.0,1.321,0.28,0.0344796
8.32,8,2011,2011,0.0,15.6,0.0,1.093,0.36,0.02053859999999987
8.34,4,2009,2011,5.1,25.1,5.1,1.54,0.5,0.030048133333333577
8.43,5,2007,2006,0.0,0.0,0.0,0.852,0.23,0.012176999999999997
8.29,11,2003,2001,18.8,21.8,18.8,1.687,0.39,0.02397059999999973
8.33,6,2014,2016,3.0,3.8,3.0,0.34,0.31,0.01649149999999986
8.09,7,2007,2006,0.0,11.6,0.0,1.146,0.55,0.034946700000000185
8.16,7,2019,2016,0.0,96.0,0.0,1.247,0.56,0.03659669999999997
8.48,12,2017,2016,4.0,4.0,4.0,1.361,0.4,0.014059924999999893
8.4,7,2005,2006,0.0,1.1,0.0,0.436,0.3,0.03124059999999983
8.45,6,2007,2006,0.0,0.0,0.0,0.964,0.24,0.015287800000000157
7.78,3,2015,2016,0.0,7.2,0.0,1.0,0.4,0.060398599999999164
8.51,7,2007,2006,0.0,0.0,0.0,0.265,0.24,0.016036700000000115
8.29,4,2012,2011,0.0,9.8,0.6,1.021,0.29,0.008235700000000007
8.34,10,2019,2016,11.4,11.4,11.4,0.494,0.44,0.019060049999999808
8.16,10,2005,2006,4.2,4.2,4.2,0.89,0.44,0.026430750000000034
8.66,9,2011,2011,18.0,18.0,18.0,1.123,0.61,0.050758800000000145
8.73,9,2011,2011,18.0,18.0,18.0,0.718,0.3,0.02077970000000026
8.36,10,2011,2011,2.8,3.0,2.8,1.867,0.44,0.024034824999999958
8.37,11,2013,2011,0.6,14.6,14.6,0.48,0.42,0.0378328000000005
8.22,9,2007,2006,29.0,29.0,29.0,2.127,0.79,0.1055829999999998
8.19,8,2011,2011,0.0,15.6,15.4,1.426,0.56,0.07903340000000111
8.16,8,2018,2016,0.0,16.4,16.4,0.76,0.64,0.1034029999999996
8.65,12,2016,2016,0.0,0.0,0.0,0.12,0.23,0.011781400000000051
8.12,1,2017,2016,0.3,1.0,0.6,1.82,0.33,0.029832166666666448
7.94,4,2015,2016,22.6,29.6,29.6,1.51,0.87,0.32874770000000236
8.41,7,2004,2006,1.0,13.5,4.5,0.904,0.29,0.030474999999999836
8.25,8,2011,2011,0.0,15.6,15.4,1.12,0.62,0.06798830000000065
8.22,8,2003,2001,0.0,2.2,0.0,1.547,0.76,0.078019200000001
7.96,9,2017,2016,0.8,0.8,0.8,0.456,0.39,0.01667240000000024
8.19,5,2013,2011,2.4,2.4,2.4,1.373,0.85,0.07349119999999965
8.25,6,2017,2016,10.0,29.5,10.4,2.851,0.82,0.035012200000000195
8.23,2,2013,2011,0.0,24.0,24.0,1.182,0.42,0.038401099999999674
7.93,7,2016,2016,0.0,1.1,0.0,1.031,0.36,0.01999203333333323
8.46,7,2008,2006,21.8,73.6,22.6,0.983,0.36,0.017250400000000138
8.38,10,2005,2006,0.0,0.0,0.0,0.217,0.21,0.009837399999999873
8.49,5,2019,2016,5.5,15.9,15.9,1.695,0.78,0.0399964999999997
8.31,7,2019,2016,0.0,96.0,0.0,1.211,1.1,0.059748000000000814
8.21,9,2003,2001,0.0,0.0,0.0,0.81,0.28,0.017956100000000138
8.19,1,2018,2016,2.3,17.3,16.8,3.301,1.76,0.20035239999999946
8.4,7,2017,2016,0.0,4.6,3.0,0.631,0.44,0.020921800000000094
8.35,4,2008,2006,0.0,9.9,9.9,0.36,0.3,0.010975066666666759
8.39,4,2008,2006,0.0,0.0,0.0,1.566,0.29,0.021601599999999787
8.27,5,2008,2006,0.0,14.2,0.0,0.488,0.02,0.03998399999999953
8.21,12,2019,2016,1.8,16.2,16.2,2.565,1.48,0.23267380000000143
7.12,2,2019,2016,0.0,7.0,1.0,2.225,1.51,0.30816450000000084
7.2,10,2018,2016,0.0,0.0,0.0,0.634,0.61,0.021711000000000067
8.03,6,2016,2016,1.2,1.8,1.8,2.06,0.73,0.02703470000000016
8.3,9,2006,2006,9.1,17.9,17.9,1.254,0.49,0.04930719999999951
8.34,10,2008,2006,4.9,16.1,6.1,0.448,0.35,0.01580299999999989
