,latitude,longitude,pH,Month,Year,CensusYear,Total Rain (mm) 0day Total,Total Rain (mm) -3day Total,Total Rain (mm) -1day Total,TotalNitrogen,Nitrogen_Kjeldahl,TotalPhosphorus
84,43.83918989152514,-79.03983860614731,8.09,1,2015,2016,0.0,1.8,0.8,1.28,0.38,0.02
85,43.907755641700824,-79.07291785615752,8.21,2,2017,2016,2.4,2.4,2.4,1.1009999999999998,0.49,0.0344
86,43.95051113741628,-79.0852601060121,8.13,2,2016,2016,0.0,1.0,1.0,0.6010000000000001,0.2,0.0173
88,43.894292013999994,-78.6750209809,8.42,5,2009,2011,3.8,3.8,3.8,1.1949999999999998,0.29,0.01
89,43.85091976432907,-79.07581985566414,8.54,11,2016,2016,0.0,1.0,0.0,1.061,0.34,0.0137
90,43.907755641700824,-79.07291785615752,8.24,6,2019,2016,0.0,2.8,0.0,1.0749999999999995,0.5,0.017
93,43.866872015284024,-79.08601360640442,8.25,9,2019,2016,0.0,21.0,21.0,0.784,0.75,0.0551
94,43.826445953885724,-79.0888364051583,8.03,6,2016,2016,1.2,1.7999999999999998,1.7999999999999998,2.06,0.73,0.0258
96,43.85091976432907,-79.07581985566414,8.19,6,2015,2016,64.0,64.0,64.0,0.8460000000000001,0.33,0.0131
98,43.961447014099996,-79.1256539813,8.36,11,2009,2011,0.0,0.0,0.0,0.33799999999999997,0.21,0.011
100,43.839189888999904,-79.03983860619991,8.41,8,2012,2011,0.0,24.5,24.5,0.398,0.32,0.003
103,43.894292013999994,-78.6750209809,8.52,6,2008,2006,0.0,3.0,0.0,0.7909999999999999,0.26,0.014
104,43.903646124282595,-79.02242423756033,7.41,9,2019,2016,0.0,21.0,21.0,0.994,0.97,0.0285
105,43.8566716389999,-78.96067785609999,8.3,8,2004,2006,0.6,0.6,0.6,0.767,0.41,0.033
108,43.9336066389999,-78.9618889811,8.4,9,2014,2016,5.2,7.2,5.2,0.93,0.37,0.018000000000000002
112,43.88073326399999,-78.821483231,8.27,8,2003,2001,0.0,2.2,0.0,1.7619999999999998,0.58,0.02
114,43.894292013999994,-78.6750209809,8.41,5,2010,2011,5.8,9.4,6.8,0.718,0.26,0.01
116,43.903646124282595,-79.02242423756033,8.23,7,2017,2016,0.0,4.6,3.0,2.341,2.06,0.0929
117,43.8566716389999,-78.96067785609999,8.32,10,2009,2011,0.0,0.0,0.0,1.04,0.36,0.008
119,43.9336066389999,-78.9618889811,8.22,5,2005,2006,0.0,6.800000000000002,1.4,1.1840000000000002,0.3,0.009000000000000001
120,43.839189888999904,-79.03983860619991,8.51,3,2011,2011,0.0,11.0,0.0,1.442,0.54,0.076
121,43.9462080141,-78.9036611061,8.46,7,2008,2006,21.8,73.6,22.6,0.983,0.36,0.015
122,43.839189888999904,-79.03983860619991,8.38,6,2012,2011,0.0,7.0,0.0,0.484,0.42,0.016
127,43.9462080141,-78.9036611061,8.42,6,2008,2006,0.0,3.0,0.0,1.019,0.27,0.009000000000000001
128,43.86966251719599,-79.07429473168425,7.11,10,2018,2016,0.0,0.0,0.0,0.8059999999999999,0.74,0.0234
129,43.894292013999994,-78.6750209809,8.36,4,2013,2011,0.4,1.0,0.4,1.2819999999999998,0.28,0.013
131,43.907755641700824,-79.07291785615752,8.16,7,2019,2016,0.0,96.0,0.0,1.247,0.56,0.0291
132,43.911565263999904,-78.78870535599991,8.49,5,2011,2011,24.6,29.200000000000006,24.6,1.364,0.62,0.027000000000000003
133,43.907755641700824,-79.07291785615752,8.11,1,2017,2016,0.0,0.4,0.0,1.4509999999999998,0.56,0.0447
134,43.8566716389999,-78.96067785609999,8.28,8,2009,2011,0.0,35.6,9.0,0.993,0.51,0.029
135,43.903646124282595,-79.02242423756033,8.41,2,2017,2016,2.4,2.4,2.4,2.051,0.56,0.042
136,43.85091976432907,-79.07581985566414,7.98,2,2016,2016,0.0,1.0,1.0,1.501,0.2,0.0228
138,43.866872015284024,-79.08601360640442,8.35,8,2017,2016,0.0,0.2,0.0,0.271,0.2,0.01
139,43.911565263999904,-78.78870535599991,8.42,7,2011,2011,0.0,23.6,0.0,1.711,0.9,0.084
140,43.9698207641,-78.7474947309,8.33,8,2010,2011,0.0,16.2,12.6,0.7779999999999999,0.21,0.013
141,43.88073326399999,-78.821483231,7.74,8,2014,2016,0.0,0.0,0.0,1.68,0.5,0.035
142,43.9462080141,-78.9036611061,8.39,8,2005,2006,0.0,0.6,0.0,0.728,0.16,0.008
143,43.9462080141,-78.9036611061,8.27,11,2012,2011,0.0,0.0,0.0,1.3840000000000001,0.26,0.01
145,43.911565263999904,-78.78870535599991,8.22,11,2010,2011,0.0,4.6,4.6,1.52,0.71,0.07200000000000001
146,43.9336066389999,-78.9618889811,8.4,7,2004,2006,0.0,8.8,3.0,1.3330000000000002,0.41,0.037000000000000005
147,43.961447013814315,-79.12565398133975,8.48,3,2018,2016,0.0,0.0,0.0,0.39,0.66,0.02685
149,43.86966251719599,-79.07429473168425,8.29,3,2019,2016,0.0,0.0,0.0,0.8909999999999999,0.62,0.0759
150,43.961447014099996,-79.1256539813,8.31,10,2013,2011,11.8,20.6,11.8,0.39,0.35,0.016
153,43.950511154557326,-79.08526005436643,8.26,3,2017,2016,1.0,1.0,1.0,0.711,0.25,0.0164
154,43.9698207641,-78.7474947309,8.43,8,2005,2006,0.0,1.5,0.0,0.748,0.16,0.021
156,43.8566716389999,-78.96067785609999,8.36,5,2007,2006,0.0,0.0,0.0,1.2080000000000002,0.56,0.028
157,43.961447013814315,-79.12565398133975,8.03,1,2016,2016,0.0,6.0,0.0,0.6709999999999999,0.29,0.0146
158,43.961447014099996,-79.1256539813,8.18,4,2012,2011,0.0,12.0,1.8,0.298,0.26,0.012
159,43.803681746598656,-79.11029851493568,8.24,9,2015,2016,0.0,11.0,0.0,1.6880000000000002,0.5,0.0234
161,43.9336066389999,-78.9618889811,8.41,6,2009,2011,0.0,0.0,0.0,1.109,0.4,0.027000000000000003
162,43.95051113741628,-79.0852601060121,8.4,7,2017,2016,0.0,4.6,3.0,0.631,0.44,0.0202
163,43.826445953885724,-79.0888364051583,8.61,12,2017,2016,0.0,4.0,4.0,2.156,0.58,0.0174
165,43.9336066389999,-78.9618889811,8.45,5,2011,2011,24.6,29.200000000000006,24.6,0.952,0.37,0.012
170,43.8566716389999,-78.96067785609999,8.33,10,2014,2016,0.0,6.6,0.0,1.0,0.45,0.033
171,43.826445953885724,-79.0888364051583,7.54,2,2015,2016,0.0,0.0,0.0,2.0,0.26,0.006
172,43.8665555139999,-78.83083585599991,8.5,7,2011,2011,0.0,23.6,0.0,0.893,0.34,0.017
173,43.9462080141,-78.9036611061,8.36,10,2010,2011,6.0,6.0,6.0,1.104,0.22,0.012
174,43.961447014099996,-79.1256539813,8.31,6,2007,2006,0.0,5.0,0.0,0.47,0.35,0.025
177,43.911565263999904,-78.78870535599991,8.26,7,2007,2006,2.4,2.4,2.4,1.736,1.17,0.168
178,43.8665555139999,-78.83083585599991,8.25,10,2013,2011,6.2,16.8,6.2,1.29,0.66,0.035
180,43.9462080141,-78.9036611061,8.37,5,2008,2006,0.0,14.2,0.0,0.753,0.02,0.04
181,43.9336066389999,-78.9618889811,8.41,7,2008,2006,21.8,73.6,22.6,1.13,0.5,0.057
184,43.8665555139999,-78.83083585599991,8.21,9,2003,2001,0.0,0.0,0.0,0.81,0.28,0.018000000000000002
185,43.8566716389999,-78.96067785609999,8.18,6,2013,2011,0.0,38.8,3.6,2.01,0.83,0.134
187,43.839189888999904,-79.03983860619991,8.36,4,2010,2011,0.0,0.0,0.0,0.721,0.31,0.015
190,43.85091976432907,-79.07581985566414,7.7,11,2018,2016,0.0,15.6,0.0,1.656,0.43,0.0154
191,43.9462080141,-78.9036611061,8.34,9,2014,2016,5.2,7.2,5.2,0.97,0.28,0.014
192,43.9336066389999,-78.9618889811,8.44,8,2011,2011,0.0,15.6,15.4,0.8849999999999999,0.3,0.025
194,43.839189888999904,-79.03983860619991,8.5,7,2010,2011,0.0,10.0,0.0,0.6819999999999999,0.35,0.015
200,43.95051113741628,-79.0852601060121,8.46,10,2017,2016,10.8,10.8,10.8,0.6010000000000001,0.46,0.0227
203,43.87148426502804,-79.06518285587957,8.31,8,2018,2016,4.0,17.8,17.8,0.63,0.43,0.079
204,43.911565263999904,-78.78870535599991,8.34,7,2010,2011,0.0,16.0,0.0,1.287,0.64,0.051
208,43.9698207641,-78.7474947309,8.38,5,2008,2006,0.0,14.2,0.0,0.5630000000000001,0.02,0.047
209,43.803681746598656,-79.11029851493568,8.12,5,2015,2016,0.0,0.0,0.0,1.113,0.44,0.021
212,43.911565263999904,-78.78870535599991,7.49,8,2014,2016,0.0,0.0,0.0,1.04,0.51,0.027000000000000003
214,43.911565263999904,-78.78870535599991,8.35,6,2014,2016,3.8,4.6,3.8,1.21,0.62,0.038
215,43.95051113741628,-79.0852601060121,8.24,9,2019,2016,0.0,21.0,21.0,0.5820000000000001,0.39,0.01
217,43.839189888999904,-79.03983860619991,8.4,8,2008,2006,0.0,0.0,0.0,0.8200000000000001,0.43,0.023
221,43.826445953885724,-79.0888364051583,8.01,11,2017,2016,0.4,15.7,0.4,2.193,0.99,0.0394
222,43.866872015284024,-79.08601360640442,8.5,10,2017,2016,10.8,10.8,10.8,0.436,0.37,0.01
223,43.95051113741628,-79.0852601060121,8.35,10,2016,2016,0.6,5.799999999999999,5.199999999999998,0.35100000000000003,0.24,0.0243
224,43.839189888999904,-79.03983860619991,8.32,12,2012,2011,0.0,9.8,0.0,1.048,0.36,0.012
227,43.9698207641,-78.7474947309,8.24,6,2013,2011,0.0,0.0,0.0,1.084,0.47,0.069
228,43.907755641700824,-79.07291785615752,8.11,10,2019,2016,11.4,11.4,11.4,1.2209999999999999,0.44,0.0201
231,43.9462080141,-78.9036611061,8.38,5,2010,2011,5.8,9.4,6.8,1.0239999999999998,0.4,0.011
232,43.803681746598656,-79.11029851493568,8.1,1,2019,2016,0.0,0.0,0.0,3.094,0.61,0.0365
235,43.8665555139999,-78.83083585599991,8.47,11,2007,2006,0.0,3.0,3.0,1.974,0.55,0.038
236,43.907755641700824,-79.07291785615752,8.1,9,2019,2016,0.0,21.0,21.0,1.511,0.74,0.0189
239,43.826445953885724,-79.0888364051583,8.15,9,2016,2016,0.0,5.9,0.5,5.501,3.19,0.042
240,43.87148426502804,-79.06518285587957,8.4,8,2016,2016,9.0,56.2,29.4,0.354,0.26,0.026
244,43.826445953885724,-79.0888364051583,6.79,10,2018,2016,0.0,0.0,0.0,4.198,2.99,0.248
247,43.839189888999904,-79.03983860619991,8.62,5,2011,2011,2.8,27.4,7.8,1.126,0.47,0.038
248,43.85091976432907,-79.07581985566414,8.66,10,2015,2016,8.4,11.0,8.4,0.8810000000000001,0.32,0.0111
249,43.803681746598656,-79.11029851493568,8.17,7,2015,2016,0.0,1.8,0.0,1.618,0.5,0.0268
251,43.88073326399999,-78.821483231,8.34,9,2013,2011,0.0,4.4,0.0,2.2,0.05,0.02
252,43.961447014099996,-79.1256539813,8.34,10,2002,2001,0.0,0.0,0.0,0.219,0.19,0.008
253,43.866872015284024,-79.08601360640442,8.33,4,2018,2016,0.0,0.0,0.0,1.1640000000000001,0.55,0.0294
255,43.803681746598656,-79.11029851493568,8.18,12,2015,2016,0.0,5.800000000000002,5.4,1.1809999999999998,0.4,0.0196
256,43.9336066389999,-78.9618889811,8.26,5,2012,2011,0.0,0.0,0.0,0.72,0.29,0.013
257,43.826445953885724,-79.0888364051583,8.05,12,2016,2016,0.0,0.0,0.0,1.915,0.82,0.0355
258,43.95051113741628,-79.0852601060121,7.86,3,2015,2016,0.0,7.2,0.0,0.856,0.44,0.032
260,43.907755641700824,-79.07291785615752,8.01,7,2018,2016,9.5,49.1,12.5,1.55,1.05,0.0715
262,43.961447014099996,-79.1256539813,8.4,7,2005,2006,0.0,1.1,0.0,0.436,0.3,0.037000000000000005
263,43.95051113741628,-79.0852601060121,8.34,7,2018,2016,9.5,49.1,12.5,1.003,0.86,0.0422
264,43.87148426502804,-79.06518285587957,8.42,12,2015,2016,7.9,8.9,8.3,0.5710000000000001,0.2,0.0138
265,43.894292013999994,-78.6750209809,8.41,7,2004,2006,1.0,13.5,4.5,0.904,0.29,0.031
266,43.95051113741628,-79.0852601060121,8.24,12,2019,2016,1.8,16.2,16.2,2.303,1.46,0.0869
267,43.961447014099996,-79.1256539813,8.36,10,2004,2006,0.0,5.6,0.0,0.215,0.19,0.011
268,43.911565263999904,-78.78870535599991,8.52,4,2007,2006,0.0,8.9,0.0,1.3090000000000002,0.53,0.021
269,43.85091976432907,-79.07581985566414,8.19,3,2016,2016,3.2,13.0,13.0,3.0010000000000003,1.72,0.903
272,43.85091976432907,-79.07581985566414,8.3,7,2017,2016,0.0,4.6,3.0,2.4410000000000003,1.32,0.481
275,43.803681746598656,-79.11029851493568,7.87,6,2015,2016,0.0,29.6,29.6,2.793,1.3,0.134
277,43.9336066389999,-78.9618889811,8.44,9,2008,2006,0.3,25.6,14.4,1.265,0.7,0.095
279,43.911565263999904,-78.78870535599991,8.32,6,2009,2011,0.0,0.0,0.0,1.491,0.76,0.054000000000000006
281,43.894292013999994,-78.6750209809,8.68,9,2011,2011,18.0,18.0,18.0,1.1249999999999998,0.38,0.026
284,43.839189888999904,-79.03983860619991,8.43,11,2010,2011,0.0,18.0,0.0,0.94,0.3,0.029
285,43.839189888999904,-79.03983860619991,8.27,4,2013,2011,2.7,9.1,6.5,0.98,0.26,0.02
286,43.907755641700824,-79.07291785615752,8.23,4,2018,2016,0.0,0.0,0.0,1.344,0.61,0.0465
287,43.8566716389999,-78.96067785609999,8.34,4,2009,2011,5.1,25.1,5.1,1.54,0.5,0.027000000000000003
288,43.826445953885724,-79.0888364051583,7.81,6,2015,2016,0.0,64.0,64.0,1.7180000000000002,0.91,0.121
289,43.9336066389999,-78.9618889811,8.41,8,2006,2006,3.4,3.4,3.4,0.983,0.24,0.01
290,43.826445953885724,-79.0888364051583,6.55,1,2019,2016,0.0,0.0,0.0,3.784,0.8,0.0167
292,43.8665555139999,-78.83083585599991,8.37,8,2008,2006,6.8,60.8,7.6,1.81,0.78,0.042
293,43.9698207641,-78.7474947309,8.52,10,2008,2006,0.0,19.2,3.4,0.883,0.25,0.009000000000000001
295,43.8665555139999,-78.83083585599991,8.27,8,2003,2001,0.0,2.2,0.0,0.993,0.33,0.014
297,43.894292013999994,-78.6750209809,7.76,8,2014,2016,0.0,0.0,0.0,0.9,0.3,0.017
298,43.88073326399999,-78.821483231,8.14,11,2010,2011,0.0,4.6,4.6,1.86,0.54,0.02
300,43.9462080141,-78.9036611061,8.39,6,2012,2011,0.0,26.8,6.4,0.973,0.35,0.023
301,43.9698207641,-78.7474947309,8.29,9,2005,2006,20.4,84.80000000000003,20.4,0.85,0.29,0.019
303,43.826445953885724,-79.0888364051583,8.1,4,2016,2016,0.0,0.0,0.0,2.596,0.48,0.0177
305,43.8566716389999,-78.96067785609999,8.34,4,2008,2006,0.0,0.0,0.0,2.008,0.41,0.029
310,43.894292013999994,-78.6750209809,8.39,5,2008,2006,0.0,14.2,0.0,0.66,0.02,0.06
311,43.88073326399999,-78.821483231,8.34,5,2005,2006,0.0,7.3,3.0,1.965,0.61,0.026
312,43.9462080141,-78.9036611061,8.2,10,2004,2006,0.0,0.0,0.0,1.726,0.8,0.018000000000000002
314,43.95051113741628,-79.0852601060121,8.34,7,2016,2016,0.0,0.0,0.0,0.341,0.2,0.0161
315,43.8665555139999,-78.83083585599991,8.37,10,2011,2011,2.8,3.0,2.8,1.779,0.34,0.015
316,43.8665555139999,-78.83083585599991,8.63,9,2011,2011,18.0,18.0,18.0,1.327,0.4,0.016
317,43.803681746598656,-79.11029851493568,8.22,1,2016,2016,0.0,3.2,0.0,2.8310000000000004,0.32,0.012
318,43.8665555139999,-78.83083585599991,8.35,4,2008,2006,0.0,0.0,0.0,2.668,0.36,0.022
321,43.903646124282595,-79.02242423756033,7.96,9,2017,2016,0.8,0.8,0.8,0.456,0.39,0.0149
323,43.911565263999904,-78.78870535599991,8.27,10,2011,2011,2.8,3.0,2.8,1.661,0.73,0.041
324,43.903646124282595,-79.02242423756033,8.1,12,2019,2016,1.8,16.2,16.2,2.305,1.37,0.142
328,43.8566716389999,-78.96067785609999,8.35,9,2013,2011,0.0,4.4,0.0,0.65,0.05,0.014
329,43.8665555139999,-78.83083585599991,8.26,4,2012,2011,0.0,9.8,0.6,1.078,0.3,0.012
330,43.839189888999904,-79.03983860619991,8.36,9,2013,2011,0.0,30.8,0.0,0.87,0.64,0.023
333,43.95051113741628,-79.0852601060121,7.85,2,2018,2016,10.0,19.4,19.4,2.504,1.88,0.247
334,43.8566716389999,-78.96067785609999,8.31,9,2006,2006,9.1,17.9,17.9,1.228,0.61,0.053
336,43.803681746598656,-79.11029851493568,7.8,3,2015,2016,0.0,5.199999999999998,0.0,1.92,0.72,0.049
337,43.839189888999904,-79.03983860619991,8.37,11,2009,2011,0.0,0.0,0.0,0.8240000000000001,0.23,0.006
343,43.9698207641,-78.7474947309,8.4,9,2004,2006,0.0,0.0,0.0,0.7879999999999999,0.17,0.019
346,43.95051113741628,-79.0852601060121,8.4,6,2017,2016,14.2,25.6,16.0,0.551,0.39,0.01
348,43.803681746598656,-79.11029851493568,8.42,5,2017,2016,0.0,2.8,0.0,2.141,0.75,0.0209
350,43.894292013999994,-78.6750209809,8.29,9,2009,2011,0.0,0.0,0.0,0.7799999999999999,0.19,0.009000000000000001
352,43.86966251719599,-79.07429473168425,8.05,7,2018,2016,0.0,7.2,7.2,0.68,0.64,0.046
353,43.961447014099996,-79.1256539813,8.37,11,2013,2011,0.6,14.6,14.6,0.48,0.42,0.042
354,43.83918989152514,-79.03983860614731,8.33,5,2015,2016,0.0,0.0,0.0,0.46,0.39,0.013
355,43.826445953885724,-79.0888364051583,7.35,8,2017,2016,8.0,8.2,8.0,7.167999999999998,5.61,0.041
357,43.911565263999904,-78.78870535599991,8.22,8,2003,2001,0.0,2.2,0.0,1.547,0.76,0.069
361,43.86966251719599,-79.07429473168425,8.14,5,2018,2016,32.2,32.2,32.2,0.8580000000000001,0.79,0.01
363,43.95051113741628,-79.0852601060121,8.39,6,2019,2016,0.0,2.8,0.0,0.653,0.38,0.0118
368,43.961447014099996,-79.1256539813,8.37,10,2009,2011,4.6,5.0,5.0,0.354,0.3,0.006
373,43.961447013814315,-79.12565398133975,8.35,3,2019,2016,0.0,0.0,0.0,1.124,0.88,0.0484
374,43.9336066389999,-78.9618889811,8.28,11,2012,2011,0.0,0.0,0.0,1.0490000000000002,0.33,0.011
376,43.839189888999904,-79.03983860619991,8.44,8,2011,2011,0.0,15.6,0.0,0.536,0.26,0.02
378,43.903646124282595,-79.02242423756033,8.14,5,2018,2016,32.2,32.2,32.2,0.754,0.71,0.01
380,43.9698207641,-78.7474947309,8.42,6,2014,2016,3.8,4.6,3.8,0.76,0.29,0.015
382,43.8566716389999,-78.96067785609999,8.37,7,2008,2006,21.8,73.6,22.6,1.569,0.67,0.053
385,43.9698207641,-78.7474947309,8.3,4,2013,2011,0.4,1.0,0.4,1.062,0.26,0.016
386,43.839189888999904,-79.03983860619991,8.19,6,2014,2016,6.2,6.2,6.2,0.68,0.49,0.031
389,43.911565263999904,-78.78870535599991,8.47,6,2008,2006,0.0,3.0,0.0,1.658,0.95,0.049
391,43.87148426502804,-79.06518285587957,8.24,9,2019,2016,0.8,19.6,19.6,2.06,1.83,0.319
393,43.803681746598656,-79.11029851493568,8.24,3,2017,2016,0.0,0.2,0.0,3.451,0.63,0.0194
395,43.9698207641,-78.7474947309,8.4,10,2005,2006,3.0,3.0,3.0,0.713,0.14,0.005
397,43.88073326399999,-78.821483231,8.28,10,2005,2006,3.0,3.0,3.0,2.231,0.51,0.012
398,43.86966251719599,-79.07429473168425,8.16,8,2018,2016,0.0,16.4,16.4,0.76,0.64,0.098
400,43.88073326399999,-78.821483231,8.25,8,2013,2011,0.0,0.0,0.0,1.95,0.56,0.023
401,43.961447014099996,-79.1256539813,8.53,11,2007,2006,0.0,0.5,0.0,0.4290000000000001,0.27,0.009000000000000001
402,43.803681746598656,-79.11029851493568,7.91,1,2015,2016,0.0,2.2,2.0,2.0500000000000003,0.68,0.017
403,43.894292013999994,-78.6750209809,8.44,9,2006,2006,9.1,17.9,17.9,0.914,0.29,0.038
406,43.961447014099996,-79.1256539813,8.33,9,2003,2001,0.4,28.2,0.4,0.923,0.46,0.023
407,43.9336066389999,-78.9618889811,8.37,10,2013,2011,6.2,16.8,6.2,0.55,0.43,0.024
412,43.9462080141,-78.9036611061,8.43,9,2006,2006,9.1,17.9,17.9,0.99,0.25,0.017
413,43.903646124282595,-79.02242423756033,8.18,11,2017,2016,0.0,11.0,0.0,2.0210000000000004,0.92,0.0565
415,43.894292013999994,-78.6750209809,8.43,10,2005,2006,3.0,3.0,3.0,0.982,0.25,0.006999999999999999
416,43.9698207641,-78.7474947309,8.38,7,2004,2006,1.0,13.5,4.5,0.8210000000000001,0.29,0.036000000000000004
417,43.8665555139999,-78.83083585599991,8.39,6,2007,2006,0.0,0.0,0.0,1.217,0.45,0.04
418,43.88073326399999,-78.821483231,8.28,4,2008,2006,0.0,0.0,0.0,3.942,0.52,0.017
419,43.803681746598656,-79.11029851493568,7.76,10,2019,2016,6.0,17.4,17.4,2.468,1.9,0.12
427,43.839189888999904,-79.03983860619991,8.42,7,2012,2011,25.0,25.0,25.0,0.411,0.3,0.014
428,43.95051113741628,-79.0852601060121,7.63,11,2018,2016,0.0,15.6,0.0,0.942,0.48,0.0124
429,43.88073326399999,-78.821483231,8.15,9,2005,2006,20.4,84.80000000000003,20.4,2.7110000000000003,0.95,0.056
432,43.839189888999904,-79.03983860619991,8.25,4,2012,2011,0.0,9.8,0.6,0.5670000000000001,0.29,0.014
433,43.8566716389999,-78.96067785609999,8.26,4,2007,2006,0.0,8.9,0.0,1.25,0.44,0.02
438,43.83918989152514,-79.03983860614731,7.96,4,2015,2016,13.8,43.40000000000001,43.40000000000001,1.54,0.8,0.66
439,43.9462080141,-78.9036611061,8.15,10,2003,2001,0.0,0.0,0.0,1.0779999999999998,0.17,0.006999999999999999
440,43.826445953885724,-79.0888364051583,8.25,9,2019,2016,5.0,26.0,5.0,2.887,1.66,0.0305
441,43.8566716389999,-78.96067785609999,8.39,9,2008,2006,0.3,25.6,14.4,1.202,0.575,0.0675
